id,subgroup,no,status,shape,elevation_m,mound_d_m,chamber_type,azimuth_deg,azimuth_label,chamber_area_m2,preservation,flags,note
A-1,A,1,現存,円形,50.5,9.5,単室,270,西,,不良,方位例外,群中唯一の西開口。横穴式と推定、袖不明
B-1〜3,B,1-3,消滅,,,,不明,,,,消滅,,片江6〜8号として発掘・宅地化
C-1,C,1,現存,不整円,65.75,12.5,単室両袖,180,南,4.3,不良,現状過小,全壁1段のみ表出
C-2,C,2,現存,円形,65.5,10.75,単室両袖,144,南東,3.9,良好,,残存良好・実測信頼度高
C-3,C,3,現存,不整円,63.0,11.5,単室両袖,152,南東,4.0,良好,再利用,ほぼ原形。塚信仰・阿弥陀如来安置
C-4,C,4,現存,,,,不明,,,,不良,座標推定,実測中に発見。開口方向不明
D-1,D,1,現存,楕円,90.0,10.1,複室両袖,180,南,3.05,中,,全長7.7m。須恵器片表採
D-2,D,2,現存,円形,86.5,8.65,単室両袖,140,南東,4.0,中,記載誤記,前壁幅「17.2m」は1.72mの誤記とみられる
D-3,D,3,現存,円形,87.5,,単室両袖,156,南東,1.37,不良,現状過小,小規模、断定不可
D-4,D,4,現存,円形,95.0,8.125,単室両袖,186,南,2.5,中,,全長6.7m
D-5,D,5,現存,円形,84.0,10.7,複室両袖,142,南南東,3.5,良好,,D群最大。墳丘・石室とも当群屈指
D-6,D,6,現存,円形,81.5,7.15,単室両袖,180,南,3.1,中,,全長4.6m。石組緻密
D-7,D,7,現存,円形,82.0,5.95,単室両袖,158,南南東,,不良,方位概略,小規模
D-8,D,8,現存,円形,84.5,8.4,単室,158,南南東,,不良,方位概略,袖石確認できず
D-9,D,9,現存,円形,81.5,8.5,単室,180,南,,不良,方位概略,石抜きで凹地化
D-10,D,10,現存,円形,74.5,7.65,単室両袖,190,南,2.67,良好,,全長4.1m。上部群で最低・東端
D-11,D,11,現存,円形,79.0,,単室,180,南,,不良,方位推測,当群中最も破壊が進む
D-12,D,12,現存,円形,69.0,7.0,単室両袖,112,南東,,不良,,傾斜22°の急斜面。下部群
D-13,D,13,現存,円形,67.0,,単室両袖,174,南,3.35,良好,標高誤記,現床面「86.70m」は誤記疑い(隣接D-12=69m)。玄室良好
E-1,E,1,消滅,小石室,,,小石室,,,,消滅,,馬術練習場建設で1980発掘・消滅
E-2,E,2,現存,円形,54.0,14.5,複室両袖,158,南南東,5.95,良好,群中最大,墳丘15×14mで群中最大。玄室も最大級
E-3,E,3,現存,円形,51.0,12.5,単室両袖,234,南西,4.62,良好,方位矛盾,主軸S-54Wだが本文は「ほぼ南開口」と記す
F-1,F,1,消滅,円形,42.25,7.0,単室,180,南,,消滅,群中最低,標高42m。1984発掘・消滅
G-1,G,1,現存,円形,113.5,10.0,単室両袖,178,南,3.61,中,眺望/帰属,稜線頂部・最高所。福岡/早良平野を一望。現:瀬戸口A群
G-2,G,2,現存,不整円,95.75,5.0,単室,180,南,,不良,帰属,現:瀬戸口A群
G-3,G,3,現存,不整円,93.75,7.25,単室両袖,180,南,,不良,帰属,極めて残存不良。現:瀬戸口A群
G-4,G,4,現存,円形,98.25,7.0,単室両袖,158,南南東,,不良,帰属/方位概略,現:瀬戸口A群
G-5,G,5,現存,円形,90.0,9.4,単室,163,南東,4.0,中,帰属,G群最下部。比較的良好。現:瀬戸口A群
G-6,G,6,現存,不整円,104.5,7.5,単室,180,南,,不良,帰属/方位概略,現:瀬戸口A群
G-7,G,7,現存,不整円,98.75,5.9,単室,203,南西,1.95,中,帰属,G群最西。現:瀬戸口A群
G-8,G,8,現存,,100.0,,小石室,,,,不良,帰属/測定不可,長軸1.25m小石室。墳丘測定不可。現:瀬戸口A群
G-9,G,9,現存,円形,98.25,4.5,単室両袖,210,南西,1.25,良好,帰属,G群最良。小規模円墳。現:瀬戸口A群
G-10,G,10,現存,楕円,91.0,5.5,単室,180,南,1.69,不良,帰属/方位推測,G群東北端。現:瀬戸口A群
H-1,H,1,現存,不整円,84.5,5.5,単室,135,南東,1.32,不良,,単独墳。急斜面
I-1,I,1,現存,不整楕円,122.25,6.5,単室,135,南東,2.4,不良,,単独墳。標高120m超の尾根近く
J-1,J,1,現存,円形,123.25,6.0,単室,135,南東,1.73,中,,J群最高所・稜線
J-2,J,2,現存,楕円,121.0,7.5,単室,90,東,,不良,方位例外/遺物,東開口。墳裾でスラグ3個表採(鉄滓?)
J-3,J,3,現存,,120.5,,単室,135,南東,,不良,方位推測,墳丘完全流出。西壁・北壁のみ
J-4,J,4,現存,不整円,114.25,7.5,単室,135,南東,,不良,,J群最東端・最下部
